datetime,wind_speed,wind_direction,temperature,humidity
2020-01-01 00:00:00,1.08,158,7.7,78
2020-01-01 01:00:00,0.72,34,7.2,81
2020-01-01 02:00:00,1.39,21,6.4,89
2020-01-01 03:00:00,1.9,18,3.7,100
2020-01-01 04:00:00,2.28,29,2.9,100
2020-01-01 05:00:00,2.25,32,3.2,98
2020-01-01 06:00:00,2.24,27,3.0,98
2020-01-01 07:00:00,1.78,38,3.1,98
2020-01-01 08:00:00,2.62,50,6.0,89
2020-01-01 09:00:00,2.28,67,9.4,75
2020-01-01 10:00:00,2.41,85,12.1,64
2020-01-01 11:00:00,3.09,115,14.2,55
2020-01-01 12:00:00,2.68,117,15.9,52
2020-01-01 13:00:00,2.6,113,17.0,52
2020-01-01 14:00:00,2.56,111,17.6,53
2020-01-01 15:00:00,2.38,105,17.7,54
2020-01-01 16:00:00,1.6,86,17.0,60
2020-01-01 17:00:00,2.63,81,13.1,79
2020-01-01 18:00:00,2.47,76,12.4,81
2020-01-01 19:00:00,2.95,66,10.9,86
2020-01-01 20:00:00,2.3,56,10.8,87
2020-01-01 21:00:00,2.34,50,10.6,87
2020-01-01 22:00:00,3.32,44,9.2,89
2020-01-01 23:00:00,2.14,79,9.4,89
2020-01-02 00:00:00,2.34,70,9.4,89
2020-01-02 01:00:00,2.4,73,8.9,88
2020-01-02 02:00:00,2.55,79,8.6,88
2020-01-02 03:00:00,2.11,85,7.9,89
2020-01-02 04:00:00,2.1,87,7.8,90
2020-01-02 05:00:00,2.25,69,6.8,91
2020-01-02 06:00:00,2.11,85,6.9,91
2020-01-02 07:00:00,2.01,96,7.2,91
2020-01-02 08:00:00,2.45,102,9.8,84
2020-01-02 09:00:00,2.0,87,12.7,76
2020-01-02 10:00:00,1.94,78,15.1,69
2020-01-02 11:00:00,2.38,75,17.0,64
2020-01-02 12:00:00,2.83,82,18.5,59
2020-01-02 13:00:00,2.91,86,19.3,56
2020-01-02 14:00:00,3.14,81,19.5,56
2020-01-02 15:00:00,3.45,73,19.2,57
2020-01-02 16:00:00,3.01,69,18.4,62
2020-01-02 17:00:00,1.97,60,16.2,72
2020-01-02 18:00:00,1.92,62,15.4,77
2020-01-02 19:00:00,2.02,70,14.3,83
2020-01-02 20:00:00,2.12,82,13.6,86
2020-01-02 21:00:00,2.1,90,13.1,89
2020-01-02 22:00:00,2.11,85,12.6,89
2020-01-02 23:00:00,2.94,80,12.4,89
2020-01-03 00:00:00,2.73,82,11.9,84
2020-01-03 01:00:00,2.24,100,11.2,85
2020-01-03 02:00:00,1.87,106,10.4,90
2020-01-03 03:00:00,2.64,115,9.6,92
2020-01-03 04:00:00,1.97,60,9.4,93
2020-01-03 05:00:00,1.81,84,9.9,93
2020-01-03 06:00:00,2.3,56,8.8,96
2020-01-03 07:00:00,2.41,48,8.2,97
2020-01-03 08:00:00,1.39,21,11.1,90
2020-01-03 09:00:00,0.67,27,13.8,80
2020-01-03 10:00:00,1.08,68,15.9,72
2020-01-03 11:00:00,2.05,47,17.3,66
2020-01-03 12:00:00,2.06,29,18.2,64
2020-01-03 13:00:00,2.22,8,18.9,61
2020-01-03 14:00:00,2.33,350,19.0,59
2020-01-03 15:00:00,2.26,347,18.9,60
2020-01-03 16:00:00,1.84,347,18.3,63
2020-01-03 17:00:00,1.4,4,17.1,68
2020-01-03 18:00:00,1.12,333,17.3,66
2020-01-03 19:00:00,1.14,308,16.8,68
2020-01-03 20:00:00,0.98,336,15.9,72
2020-01-03 21:00:00,1.08,68,14.9,77
2020-01-03 22:00:00,1.97,120,11.6,90
2020-01-03 23:00:00,1.7,130,11.8,90
2020-01-04 00:00:00,1.93,111,10.9,93
2020-01-04 01:00:00,2.53,108,9.9,96
2020-01-04 02:00:00,2.33,155,9.8,96
2020-01-04 03:00:00,1.65,104,9.9,96
2020-01-04 04:00:00,2.06,113,9.6,97
2020-01-04 05:00:00,1.08,202,9.7,96
2020-01-04 06:00:00,1.56,225,8.8,96
2020-01-04 07:00:00,1.46,254,9.0,95
2020-01-04 08:00:00,1.08,236,10.6,94
2020-01-04 09:00:00,0.64,219,12.9,87
2020-01-04 10:00:00,0.36,214,15.2,79
2020-01-04 11:00:00,0.67,243,17.0,72
2020-01-04 12:00:00,1.2,265,18.0,66
2020-01-04 13:00:00,1.61,277,18.6,63
2020-01-04 14:00:00,1.92,298,18.9,61
2020-01-04 15:00:00,2.05,317,18.8,56
2020-01-04 16:00:00,1.61,330,18.1,59
2020-01-04 17:00:00,1.8,19,15.4,71
2020-01-04 18:00:00,2.69,45,13.3,84
2020-01-04 19:00:00,1.32,81,15.1,74
2020-01-04 20:00:00,0.86,126,14.5,77
2020-01-04 21:00:00,0.58,239,14.4,77
2020-01-04 22:00:00,1.53,328,12.4,87
2020-01-04 23:00:00,1.7,3,11.7,91
2020-01-05 00:00:00,2.62,7,9.9,91
2020-01-05 01:00:00,3.01,6,9.1,89
2020-01-05 02:00:00,2.9,358,9.1,86
2020-01-05 03:00:00,2.66,340,9.1,86
2020-01-05 04:00:00,2.15,298,8.9,88
2020-01-05 05:00:00,1.84,283,8.2,91
2020-01-05 06:00:00,1.43,258,8.1,91
2020-01-05 07:00:00,2.18,254,7.8,92
2020-01-05 08:00:00,2.94,260,10.2,84
2020-01-05 09:00:00,2.3,270,13.2,75
2020-01-05 10:00:00,2.9,272,15.8,65
2020-01-05 11:00:00,3.13,287,17.8,55
2020-01-05 12:00:00,3.07,289,19.0,49
2020-01-05 13:00:00,3.23,286,19.5,47
2020-01-05 14:00:00,3.48,288,19.8,46
2020-01-05 15:00:00,3.58,293,19.3,47
2020-01-05 16:00:00,2.36,306,18.2,54
2020-01-05 17:00:00,2.12,341,15.9,67
2020-01-05 18:00:00,2.01,333,15.3,70
2020-01-05 19:00:00,1.49,340,14.8,73
2020-01-05 20:00:00,2.01,333,13.8,78
2020-01-05 21:00:00,2.64,331,12.3,83
2020-01-05 22:00:00,2.02,340,12.4,81
2020-01-05 23:00:00,2.43,351,11.5,86
2020-01-06 00:00:00,1.8,360,11.9,83
2020-01-06 01:00:00,1.71,21,12.2,81
2020-01-06 02:00:00,0.95,288,12.4,79
2020-01-06 03:00:00,1.88,335,10.9,86
2020-01-06 04:00:00,1.81,354,11.0,85
2020-01-06 05:00:00,0.92,257,10.2,90
2020-01-06 06:00:00,1.0,270,10.9,87
2020-01-06 07:00:00,1.49,290,10.4,90
2020-01-06 08:00:00,1.88,295,12.8,80
2020-01-06 09:00:00,1.41,315,14.6,71
2020-01-06 10:00:00,1.77,317,16.3,59
2020-01-06 11:00:00,1.71,339,16.8,56
2020-01-06 12:00:00,1.3,356,16.3,58
2020-01-06 13:00:00,1.57,27,17.0,56
2020-01-06 14:00:00,1.72,36,17.0,58
2020-01-06 15:00:00,2.2,39,16.4,63
2020-01-06 16:00:00,2.26,45,16.0,64
2020-01-06 17:00:00,2.28,52,14.4,75
2020-01-06 18:00:00,2.55,64,13.3,80
2020-01-06 19:00:00,3.04,73,13.3,82
2020-01-06 20:00:00,3.23,74,13.1,83
2020-01-06 21:00:00,2.28,75,12.4,88
2020-01-06 22:00:00,1.7,87,12.0,90
2020-01-06 23:00:00,2.01,96,11.8,91
2020-01-07 00:00:00,2.65,101,12.3,86
2020-01-07 01:00:00,2.64,115,12.5,84
2020-01-07 02:00:00,2.33,115,12.4,83
2020-01-07 03:00:00,2.39,123,12.4,83
2020-01-07 04:00:00,2.58,126,12.4,83
2020-01-07 05:00:00,2.06,119,11.9,86
2020-01-07 06:00:00,2.21,108,11.4,90
2020-01-07 07:00:00,2.44,109,11.1,91
2020-01-07 08:00:00,3.18,114,12.4,86
2020-01-07 09:00:00,3.19,122,13.9,80
2020-01-07 10:00:00,2.73,118,13.9,82
2020-01-07 11:00:00,2.86,115,16.4,72
2020-01-07 12:00:00,3.33,139,17.8,65
2020-01-07 13:00:00,3.61,138,17.2,68
2020-01-07 14:00:00,3.41,130,17.1,71
2020-01-07 15:00:00,3.38,109,16.6,74
2020-01-07 16:00:00,3.1,90,16.5,75
2020-01-07 17:00:00,2.18,106,15.9,80
2020-01-07 18:00:00,2.45,78,14.9,86
2020-01-07 19:00:00,2.32,83,13.9,92
2020-01-07 20:00:00,1.88,65,13.4,94
2020-01-07 21:00:00,2.63,81,13.1,95
2020-01-07 22:00:00,2.83,82,13.1,96
2020-01-07 23:00:00,3.2,90,12.8,96
2020-01-08 00:00:00,3.89,108,12.6,95
2020-01-08 01:00:00,3.86,121,12.6,93
2020-01-08 02:00:00,0.98,294,12.1,94
