datetime,measured_pm25,wind_speed,wind_direction,stability_class,nearest_source_lat,nearest_source_lon,source_industrial_pm25,distance_to_source_m,plume_concentration_gm3,sigma_z
2020-01-05 17:00:00,377.06,2.12,341,C,28.69,77.18,9.8263,1290.8,0.000622,133.62
2020-01-06 05:00:00,355.24,0.92,257,B,28.62,77.16,4.9123,2265.0,0.000122,327.23
2020-01-08 11:00:00,397.61,2.44,109,C,28.59,77.31,9.7943,1762.3,0.000304,178.74
2020-01-09 17:00:00,400.0,2.02,303,C,28.65,77.15,83.51,401.0,0.042659,43.25
2020-01-10 04:00:00,365.17,3.45,292,C,28.65,77.09,19.65,651.9,0.002639,69.48
2020-01-10 18:00:00,351.52,2.31,288,C,28.63,77.13,176.8,818.8,0.023609,86.59
2020-01-11 12:00:00,349.77,3.13,287,C,28.65,77.09,19.65,1175.0,0.001001,122.27
2020-01-12 20:00:00,350.64,2.86,12,C,28.7,77.21,4.9123,2383.5,7.5e-05,235.61
2020-01-14 11:00:00,347.39,2.1,357,C,28.68,77.2,4.9123,588.0,0.001297,62.86
2020-01-16 14:00:00,352.25,2.63,9,C,28.7,77.21,4.9123,1589.5,0.000171,162.42
